,alpha,deltas,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
26,,"0    587531
1    570824
2    567570
3    579226
4    575082
dtype: float64",random1 200x200 (1520223205).bmp,blur,,,asm2,576046.6,3,,576046.6,60514694.79998779,random1,200,200,1520223205
27,,"0    571199
1    569923
2    569157
3    610508
4    573440
dtype: float64",random1 200x200 (269441500).bmp,blur,,,asm2,578845.4,3,,578845.4,315920084.2999878,random1,200,200,269441500
28,,"0    1432605
1    1449653
2    9729280
3    1394822
4    1431937
dtype: float64",fixed 316x316 (1374344043).bmp,blur,,,asm2,3087659.4,3,,3087659.4,13785127339111.3,fixed,316,316,1374344043
29,,"0    1794163
1    1876913
2    1695548
3    1794752
4    1982028
dtype: float64",fixed 352x352 (1918502651).bmp,blur,,,asm2,1828680.8,3,,1828680.8,11477173321.700195,fixed,352,352,1918502651
30,,"0    250789
1    251332
2    256757
3    252572
4    250978
dtype: float64",fixed 132x132 (1315634022).bmp,blur,,,asm2,252485.6,3,,252485.6,6183606.300003052,fixed,132,132,1315634022
31,,"0    571373
1    570375
2    569276
3    550747
4    552713
dtype: float64",random1 200x200 (1889947178).bmp,blur,,,asm2,562896.8,3,,562896.8,104947764.2000122,random1,200,200,1889947178
32,,"0    569798
1    571224
2    571685
3    574877
4    569707
dtype: float64",random2 200x200 (2081421295).bmp,blur,,,asm2,571458.2,3,,571458.2,4404361.700012207,random2,200,200,2081421295
33,,"0    570577
1    570296
2    830038
3    574194
4    572857
dtype: float64",random1 200x200 (1631518149).bmp,blur,,,asm2,623592.4,3,,623592.4,13321301846.299988,random1,200,200,1631518149
34,,"0    147082
1    146826
2    146914
3    146401
4    147433
dtype: float64",fixed 100x100 (336465782).bmp,blur,,,asm2,146931.2,3,,146931.2,141754.70000076294,fixed,100,100,336465782
35,,"0    571618
1    581010
2    572408
3    570253
4    550923
dtype: float64",random2 200x200 (1665194694).bmp,blur,,,asm2,569242.4,3,,569242.4,122690659.2999878,random2,200,200,1665194694
36,,"0      766693
1      588465
2      576480
3      572402
4    11618993
dtype: float64",random1 200x200 (1346811305).bmp,blur,,,asm2,2824606.6,3,,2824606.6,24175767140677.3,random1,200,200,1346811305
37,,"0    935390
1    935043
2    933208
3    930012
4    929618
dtype: float64",fixed 256x256 (1827336327).bmp,blur,,,asm2,932654.2,3,,932654.2,7424348.199951172,fixed,256,256,1827336327
38,,"0    963594
1    964381
2    980292
3    963245
4    965944
dtype: float64",fixed 260x260 (572660336).bmp,blur,,,asm2,967491.2,3,,967491.2,52286508.69995117,fixed,260,260,572660336
39,,"0    671771
1    571868
2    569545
3    590757
4    571599
dtype: float64",random1 200x200 (1120048829).bmp,blur,,,asm2,595108.0,3,,595108.0,1910596105.0,random1,200,200,1120048829
40,,"0    578095
1    573654
2    573928
3    572661
4    574759
dtype: float64",random1 200x200 (822890675).bmp,blur,,,asm2,574619.4,3,,574619.4,4336161.299987793,random1,200,200,822890675
41,,"0    576374
1    802694
2    577933
3    569227
4    570137
dtype: float64",random1 200x200 (532670688).bmp,blur,,,asm2,619273.0,3,,619273.0,10527882913.5,random1,200,200,532670688
42,,"0    4173
1    3703
2    3254
3    3656
4    4024
dtype: float64",fixed 8x8 (846930886).bmp,blur,,,asm2,3762.0,3,,3762.0,127586.5,fixed,8,8,846930886
43,,"0    571117
1    569059
2    673725
3    569569
4    570006
dtype: float64",random2 200x200 (1634660306).bmp,blur,,,asm2,590695.2,3,,590695.2,2154934519.200012,random2,200,200,1634660306
44,,"0    2172610
1    2247479
2    5306753
3    3051256
4    2247564
dtype: float64",fixed 392x392 (1749698586).bmp,blur,,,asm2,3005132.4,3,,3005132.4,1785156718633.3008,fixed,392,392,1749698586
45,,"0    577243
1    569887
2    573247
3    630506
4    571962
dtype: float64",random1 200x200 (1973594324).bmp,blur,,,asm2,584569.0,3,,584569.0,666640875.5,random1,200,200,1973594324
46,,"0    573101
1    573592
2    551731
3    569411
4    586914
dtype: float64",random1 200x200 (1359512183).bmp,blur,,,asm2,570949.8,3,,570949.8,159548685.7000122,random1,200,200,1359512183
47,,"0    571947
1    573193
2    571993
3    571993
4    568818
dtype: float64",random1 200x200 (570073850).bmp,blur,,,asm2,571588.8,3,,571588.8,2676463.200012207,random1,200,200,570073850
48,,"0    356492
1    333433
2    332990
3    333973
4    332874
dtype: float64",fixed 152x152 (2089018456).bmp,blur,,,asm2,337952.4,3,,337952.4,107598232.2999878,fixed,152,152,2089018456
49,,"0      570442
1    26050410
2      569868
3      582699
4      574041
dtype: float64",random2 200x200 (594662880).bmp,blur,,,asm2,5669492.0,3,,5669492.0,129806844571212.5,random2,200,200,594662880
50,,"0    103170
1    103277
2    103667
3    103823
4    102953
dtype: float64",fixed 84x84 (35005211).bmp,blur,,,asm2,103378.0,3,,103378.0,128909.0,fixed,84,84,35005211
51,,"0    573226
1    568922
2    577830
3    571486
4    624880
dtype: float64",random2 200x200 (2099086020).bmp,blur,,,asm2,583268.8,3,,583268.8,551648847.2000122,random2,200,200,2099086020
52,,"0    575171
1    570473
2    570268
3    574243
4    571725
dtype: float64",random1 200x200 (1600028624).bmp,blur,,,asm2,572376.0,3,,572376.0,4946647.0,random1,200,200,1600028624
53,,"0     570366
1    2121405
2     568937
3     610620
4     572613
dtype: float64",random1 200x200 (620145550).bmp,blur,,,asm2,888788.2,3,,888788.2,475096491955.69995,random1,200,200,620145550
54,,"0    2075221
1    1937689
2    1981941
3    1927352
4    1955409
dtype: float64",fixed 368x368 (1264095060).bmp,blur,,,asm2,1975522.4,3,,1975522.4,3534327929.7998047,fixed,368,368,1264095060
55,,"0    570228
1    569294
2    785055
3    570894
4    570357
dtype: float64",random1 200x200 (292218004).bmp,blur,,,asm2,613165.6,3,,613165.6,9233446253.299988,random1,200,200,292218004
56,,"0    1246234
1    1251716
2    1246133
3    1251637
4    1293900
dtype: float64",fixed 296x296 (2001100545).bmp,blur,,,asm2,1257924.0,3,,1257924.0,412005497.5,fixed,296,296,2001100545
57,,"0    569584
1    573122
2    600190
3    569859
4    573226
dtype: float64",random1 200x200 (749241873).bmp,blur,,,asm2,577196.2,3,,577196.2,168214131.2000122,random1,200,200,749241873
58,,"0    572732
1    582985
2    582350
3    573174
4    569584
dtype: float64",random1 200x200 (338888228).bmp,blur,,,asm2,576165.0,3,,576165.0,37201939.0,random1,200,200,338888228
59,,"0    481650
1    482163
2    486568
3    482075
4    483228
dtype: float64",fixed 184x184 (756898537).bmp,blur,,,asm2,483136.8,3,,483136.8,4016932.700012207,fixed,184,184,756898537
60,,"0    8631017
1     593825
2     593111
3     596277
4     594146
dtype: float64",fixed 204x204 (1129566413).bmp,blur,,,asm2,2201675.2,3,,2201675.2,12917637635451.2,fixed,204,204,1129566413
61,,"0    1921543
1    1891899
2    1903832
3    1931833
4    1952132
dtype: float64",fixed 364x364 (2053999932).bmp,blur,,,asm2,1920247.8,3,,1920247.8,556407390.7001953,fixed,364,364,2053999932
62,,"0    873593
1    899501
2    877757
3    880806
4    877977
dtype: float64",fixed 248x248 (2084420925).bmp,blur,,,asm2,881926.8,3,,881926.8,103137268.19995117,fixed,248,248,2084420925
63,,"0    2443329
1     601879
2     608204
3     584533
4     568897
dtype: float64",random2 200x200 (959798838).bmp,blur,,,asm2,961368.4,3,,961368.4,686550915150.8,random2,200,200,959798838
64,,"0    2061108
1     570146
2     571755
3     585049
4    1999053
dtype: float64",random2 200x200 (25750299).bmp,blur,,,asm2,1157422.2,3,,1157422.2,635125228237.7,random2,200,200,25750299
65,,"0    570345
1    575519
2    570494
3    574398
4    607324
dtype: float64",random2 200x200 (766480852).bmp,blur,,,asm2,579616.0,3,,579616.0,245227130.5,random2,200,200,766480852
66,,"0    622700
1    572140
2    569514
3    570512
4    577485
dtype: float64",random1 200x200 (1264095060).bmp,blur,,,asm2,582470.2,3,,582470.2,515215931.2000122,random1,200,200,1264095060
67,,"0    2964908
1     990008
2    1938558
3    1038786
4     990829
dtype: float64",fixed 264x264 (1159126505).bmp,blur,,,asm2,1584617.8,3,,1584617.8,758638252136.2002,fixed,264,264,1159126505
68,,"0    571214
1    574389
2    571282
3    575525
4    570118
dtype: float64",random1 200x200 (155324914).bmp,blur,,,asm2,572505.6,3,,572505.6,5382508.299987793,random1,200,200,155324914
69,,"0    570509
1    569139
2    578755
3    575934
4    572564
dtype: float64",random2 200x200 (901471110).bmp,blur,,,asm2,573380.2,3,,573380.2,15577029.700012207,random2,200,200,901471110
70,,"0    312315
1    312172
2    312778
3    314217
4    322864
dtype: float64",fixed 148x148 (1059961393).bmp,blur,,,asm2,314869.2,3,,314869.2,20628533.69999695,fixed,148,148,1059961393
71,,"0    569484
1    570650
2    571880
3    570625
4    576856
dtype: float64",random2 200x200 (954978700).bmp,blur,,,asm2,571899.0,3,,571899.0,8396878.0,random2,200,200,954978700
72,,"0    165337
1    165382
2    165996
3    165953
4    168069
dtype: float64",fixed 108x108 (278722862).bmp,blur,,,asm2,166147.4,3,,166147.4,1248961.3000030518,fixed,108,108,278722862
73,,"0    573431
1    572246
2    575479
3    691018
4    570393
dtype: float64",random1 200x200 (1350490027).bmp,blur,,,asm2,596513.4,3,,596513.4,2794386148.299988,random1,200,200,1350490027
74,,"0    569832
1    550762
2    571328
3    570986
4    572509
dtype: float64",random1 200x200 (84353895).bmp,blur,,,asm2,567083.4,3,,567083.4,84156737.7999878,random1,200,200,84353895
75,,"0      570543
1      574948
2      574877
3    16040718
4      573095
dtype: float64",random1 200x200 (407487131).bmp,blur,,,asm2,3666836.2,3,,3666836.2,47847800332269.7,random1,200,200,407487131
76,,"0    1185007
1    1149850
2    1151337
3    1146260
4    1175376
dtype: float64",fixed 284x284 (1141616124).bmp,blur,,,asm2,1161566.0,3,,1161566.0,304091828.5,fixed,284,284,1141616124
77,,"0    385334
1    386747
2    386179
3    384235
4    411101
dtype: float64",fixed 164x164 (1131176229).bmp,blur,,,asm2,390719.2,3,,390719.2,130713697.2000122,fixed,164,164,1131176229
78,,"0    1680471
1    1568109
2    1547797
3    1560581
4    1545859
dtype: float64",fixed 328x328 (356426808).bmp,blur,,,asm2,1580563.4,3,,1580563.4,3203492318.7998047,fixed,328,328,356426808
79,,"0    28719
1    28817
2    29272
3    30120
4    32413
dtype: float64",fixed 44x44 (1025202362).bmp,blur,,,asm2,29868.2,3,,29868.2,2330136.7000000477,fixed,44,44,1025202362
80,,"0    573293
1    576630
2    581600
3    571764
4    857139
dtype: float64",random2 200x200 (250037052).bmp,blur,,,asm2,632085.2,3,,632085.2,15842104367.700012,random2,200,200,250037052
81,,"0    572377
1    568998
2    576950
3    568528
4    568748
dtype: float64",random2 200x200 (1113699290).bmp,blur,,,asm2,571120.2,3,,571120.2,13104170.200012207,random2,200,200,1113699290
82,,"0    569346
1    555170
2    570570
3    570589
4    585434
dtype: float64",random1 200x200 (87755422).bmp,blur,,,asm2,570221.8,3,,570221.8,114747704.2000122,random1,200,200,87755422
83,,"0    573672
1    570613
2    569365
3    575888
4    573153
dtype: float64",random1 200x200 (1760281936).bmp,blur,,,asm2,572538.2,3,,572538.2,6665058.700012207,random1,200,200,1760281936
84,,"0    584851
1    570476
2    576077
3    573327
4    571065
dtype: float64",random1 200x200 (552473416).bmp,blur,,,asm2,575159.2,3,,575159.2,34206284.20001221,random1,200,200,552473416
85,,"0    572402
1    569758
2    570195
3    569997
4    599485
dtype: float64",random1 200x200 (1389867269).bmp,blur,,,asm2,576367.4,3,,576367.4,168128128.2999878,random1,200,200,1389867269
86,,"0    569655
1    570604
2    576431
3    583843
4    573996
dtype: float64",random1 200x200 (1714636915).bmp,blur,,,asm2,574905.8,3,,574905.8,32275974.700012207,random1,200,200,1714636915
87,,"0    1054574
1    1095122
2    1735030
3    1050322
4    1048869
dtype: float64",fixed 272x272 (1632621729).bmp,blur,,,asm2,1196783.4,3,,1196783.4,90899391881.80005,fixed,272,272,1632621729
88,,"0    573873
1    606198
2    572191
3    571251
4    583321
dtype: float64",random1 200x200 (1548348142).bmp,blur,,,asm2,581366.8,3,,581366.8,215772286.2000122,random1,200,200,1548348142
89,,"0    573983
1    582131
2    569450
3    569621
4    568858
dtype: float64",random1 200x200 (1573363368).bmp,blur,,,asm2,572808.6,3,,572808.6,31333646.299987793,random1,200,200,1573363368
90,,"0    688051
1    690752
2    689522
3    689529
4    688982
dtype: float64",fixed 220x220 (1911759956).bmp,blur,,,asm2,689367.2,3,,689367.2,962143.6999511719,fixed,220,220,1911759956
91,,"0    2992721
1     571306
2     579112
3     570045
4     570293
dtype: float64",random1 200x200 (654887343).bmp,blur,,,asm2,1056695.4,3,,1056695.4,1171324950997.3,random1,200,200,654887343
92,,"0    569441
1    569545
2    568788
3    569441
4    576590
dtype: float64",random2 200x200 (1250718455).bmp,blur,,,asm2,570761.0,3,,570761.0,10708356.5,random2,200,200,1250718455
93,,"0    570717
1    570058
2    572509
3    570333
4    571584
dtype: float64",random2 200x200 (98768428).bmp,blur,,,asm2,571040.2,3,,571040.2,1005599.700012207,random2,200,200,98768428
94,,"0    569505
1    569581
2    578315
3    571718
4    570485
dtype: float64",random2 200x200 (960449276).bmp,blur,,,asm2,571920.8,3,,571920.8,13574799.200012207,random2,200,200,960449276
95,,"0    577268
1    570143
2    570079
3    569755
4    569789
dtype: float64",random2 200x200 (232899880).bmp,blur,,,asm2,571406.8,3,,571406.8,10764907.200012207,random2,200,200,232899880
96,,"0    574622
1    569878
2    591386
3    571300
4    570827
dtype: float64",random1 200x200 (1605894428).bmp,blur,,,asm2,575602.6,3,,575602.6,81041764.7999878,random1,200,200,1605894428
97,,"0    5986
1    6374
2    6383
3    6584
4    6151
dtype: float64",fixed 16x16 (1714636915).bmp,blur,,,asm2,6295.6,3,,6295.6,53430.29999999702,fixed,16,16,1714636915
98,,"0    575070
1    910710
2    573992
3    569145
4    568510
dtype: float64",random2 200x200 (602713750).bmp,blur,,,asm2,639485.4,3,,639485.4,22996698030.799988,random2,200,200,602713750
99,,"0     569719
1     578385
2     568687
3     569413
4    7503246
dtype: float64",random2 200x200 (1790746779).bmp,blur,,,asm2,1957890.0,3,,1957890.0,9609694822935.0,random2,200,200,1790746779
100,,"0    572497
1    843378
2    572860
3    570522
4    570290
dtype: float64",random2 200x200 (1585298692).bmp,blur,,,asm2,625909.4,3,,625909.4,14780249258.799988,random2,200,200,1585298692
101,,"0    1234628
1     574173
2     571044
3     577341
4     570931
dtype: float64",random1 200x200 (1176911340).bmp,blur,,,asm2,705623.4,3,,705623.4,87458776538.30005,random1,200,200,1176911340
102,,"0    570006
1    587861
2    598215
3    647955
4    571233
dtype: float64",random2 200x200 (1556677371).bmp,blur,,,asm2,595054.0,3,,595054.0,1013772329.0,random2,200,200,1556677371
103,,"0     569523
1     572948
2    4600572
3     569600
4     571086
dtype: float64",random2 200x200 (88885284).bmp,blur,,,asm2,1376745.8,3,,1376745.8,3247831743931.2,random2,200,200,88885284
104,,"0    571102
1    575827
2    569047
3    569801
4    573312
dtype: float64",random2 200x200 (1427056614).bmp,blur,,,asm2,571817.8,3,,571817.8,7640875.700012207,random2,200,200,1427056614
105,,"0     408076
1     406192
2    9653154
3     392880
4     407407
dtype: float64",fixed 168x168 (1653377373).bmp,blur,,,asm2,2253541.8,3,,2253541.8,17110745511667.2,fixed,168,168,1653377373
106,,"0    573037
1    568809
2    551143
3    572701
4    575104
dtype: float64",random2 200x200 (1258505823).bmp,blur,,,asm2,568158.8,3,,568158.8,95656107.2000122,random2,200,200,1258505823
107,,"0    570253
1    570021
2    583060
3    571538
4    580775
dtype: float64",random1 200x200 (1760243555).bmp,blur,,,asm2,575129.4,3,,575129.4,39385099.29998779,random1,200,200,1760243555
108,,"0    572884
1    834641
2    573028
3    573587
4    572643
dtype: float64",random2 200x200 (13999837).bmp,blur,,,asm2,625356.6,3,,625356.6,13687607830.299988,random2,200,200,13999837
109,,"0    7356395
1     570967
2     574881
3     568492
4     569795
dtype: float64",random1 200x200 (950390868).bmp,blur,,,asm2,1928106.0,3,,1928106.0,9208231158796.0,random1,200,200,950390868
110,,"0    45020
1    45240
2    45533
3    45957
4    45337
dtype: float64",fixed 56x56 (1102520059).bmp,blur,,,asm2,45417.4,3,,45417.4,125098.30000019073,fixed,56,56,1102520059
111,,"0     233108
1     232052
2     239277
3     231991
4    7221421
dtype: float64",fixed 128x128 (1801979802).bmp,blur,,,asm2,1631569.8,3,,1631569.8,9764520493764.7,fixed,128,128,1801979802
112,,"0    585528
1    569075
2    571318
3    573498
4    580836
dtype: float64",random1 200x200 (2112255763).bmp,blur,,,asm2,576051.0,3,,576051.0,47573357.0,random1,200,200,2112255763
113,,"0     827654
1     794991
2    9848994
3     795290
4     794240
dtype: float64",fixed 236x236 (982906996).bmp,blur,,,asm2,2612233.8,3,,2612233.8,16366045219555.2,fixed,236,236,982906996
114,,"0    579225
1    573495
2    568528
3    570781
4    570174
dtype: float64",random2 200x200 (279861221).bmp,blur,,,asm2,572440.6,3,,572440.6,17585007.299987793,random2,200,200,279861221
115,,"0    573718
1    614724
2    570641
3    570601
4    581932
dtype: float64",random2 200x200 (211996288).bmp,blur,,,asm2,582323.2,3,,582323.2,349474528.7000122,random2,200,200,211996288
116,,"0    16011
1    17345
2    17510
3    15941
4    16588
dtype: float64",fixed 32x32 (1649760492).bmp,blur,,,asm2,16679.0,3,,16679.0,533316.5,fixed,32,32,1649760492
117,,"0    570851
1    569808
2    570909
3    569660
4    569313
dtype: float64",random1 200x200 (498777856).bmp,blur,,,asm2,570108.2,3,,570108.2,529094.700012207,random1,200,200,498777856
118,,"0    13163
1    13215
2    12699
3    13773
4    13148
dtype: float64",fixed 28x28 (719885386).bmp,blur,,,asm2,13199.6,3,,13199.6,145906.80000001192,fixed,28,28,719885386
119,,"0      576788
1      574270
2      569700
3    18897716
4      572793
dtype: float64",random1 200x200 (760313750).bmp,blur,,,asm2,4238253.4,3,,4238253.4,67156207736072.8,random1,200,200,760313750
120,,"0     569978
1     596710
2     571211
3    1590089
4     570549
dtype: float64",random1 200x200 (184803526).bmp,blur,,,asm2,779707.4,3,,779707.4,205352698088.30005,random1,200,200,184803526
121,,"0    572253
1    570201
2    569087
3    572482
4    572289
dtype: float64",random2 200x200 (369554448).bmp,blur,,,asm2,571262.4,3,,571262.4,2345388.799987793,random2,200,200,369554448
122,,"0    571501
1    591829
2    570390
3    581154
4    553814
dtype: float64",random2 200x200 (204557828).bmp,blur,,,asm2,573737.6,3,,573737.6,198865096.2999878,random2,200,200,204557828
123,,"0    570033
1    569352
2    570488
3    619379
4    572012
dtype: float64",random2 200x200 (468736315).bmp,blur,,,asm2,580252.8,3,,580252.8,479348345.7000122,random2,200,200,468736315
124,,"0    590706
1    570692
2    570152
3    617416
4    570601
dtype: float64",random1 200x200 (1876855542).bmp,blur,,,asm2,583913.4,3,,583913.4,427491290.7999878,random1,200,200,1876855542
125,,"0    19488
1    19128
2    19974
3    20944
4    19995
dtype: float64",fixed 36x36 (596516649).bmp,blur,,,asm2,19905.8,3,,19905.8,467499.1999999881,fixed,36,36,596516649
126,,"0    41504
1    40109
2    39940
3    40005
4    40340
dtype: float64",fixed 52x52 (783368690).bmp,blur,,,asm2,40379.6,3,,40379.6,418160.2999999523,fixed,52,52,783368690
127,,"0    569871
1    572494
2    568116
3    597134
4    568809
dtype: float64",random2 200x200 (2124251098).bmp,blur,,,asm2,575284.8,3,,575284.8,151953253.7000122,random2,200,200,2124251098
128,,"0    571892
1    573281
2    597138
3    582497
4    590058
dtype: float64",random2 200x200 (1904101559).bmp,blur,,,asm2,582973.2,3,,582973.2,116948612.7000122,random2,200,200,1904101559
129,,"0    579571
1    571312
2    574795
3    586404
4    572469
dtype: float64",random1 200x200 (1784639529).bmp,blur,,,asm2,576910.2,3,,576910.2,38187566.70001221,random1,200,200,1784639529
130,,"0    574462
1    572771
2    569532
3    572838
4    569847
dtype: float64",random2 200x200 (1940591161).bmp,blur,,,asm2,571890.0,3,,571890.0,4506015.5,random2,200,200,1940591161
131,,"0    573043
1    569218
2    573083
3    571458
4    572640
dtype: float64",random1 200x200 (1411154259).bmp,blur,,,asm2,571888.4,3,,571888.4,2660338.299987793,random1,200,200,1411154259
132,,"0    569584
1    571532
2    587186
3    575962
4    590141
dtype: float64",random2 200x200 (1054231799).bmp,blur,,,asm2,578881.0,3,,578881.0,86180799.0,random2,200,200,1054231799
133,,"0    572304
1    569193
2    569233
3    859171
4    572002
dtype: float64",random2 200x200 (696556207).bmp,blur,,,asm2,628380.6,3,,628380.6,16647237729.299988,random2,200,200,696556207
134,,"0    2283869
1    2278389
2    2338963
3    2430963
4    2329600
dtype: float64",fixed 400x400 (1956297539).bmp,blur,,,asm2,2332356.8,3,,2332356.8,3759503672.2001953,fixed,400,400,1956297539
135,,"0    625505
1    573626
2    571938
3    573827
4    570238
dtype: float64",random2 200x200 (923192533).bmp,blur,,,asm2,583026.8,3,,583026.8,565980931.7000122,random2,200,200,923192533
136,,"0    1847117
1    1887298
2    3185920
3    1816874
4    1815919
dtype: float64",fixed 356x356 (752392754).bmp,blur,,,asm2,2110625.6,3,,2110625.6,362178007113.2998,fixed,356,356,752392754
137,,"0    573608
1    551297
2    572142
3    552002
4    570635
dtype: float64",random1 200x200 (1967681095).bmp,blur,,,asm2,563936.8,3,,563936.8,126981823.7000122,random1,200,200,1967681095
138,,"0    569679
1    570653
2    773363
3    569426
4    583208
dtype: float64",random1 200x200 (1884167637).bmp,blur,,,asm2,613265.8,3,,613265.8,8043043177.700012,random1,200,200,1884167637
139,,"0    552163
1    570802
2    569359
3    570797
4    659460
dtype: float64",random1 200x200 (1626276121).bmp,blur,,,asm2,584516.2,3,,584516.2,1817334787.7000122,random1,200,200,1626276121
140,,"0    350186
1    350445
2    349124
3    381674
4    350198
dtype: float64",fixed 156x156 (628175011).bmp,blur,,,asm2,356325.4,3,,356325.4,201057012.7999878,fixed,156,156,628175011
141,,"0    15888136
1      570204
2      569087
3      574923
4      575885
dtype: float64",random2 200x200 (880121610).bmp,blur,,,asm2,3635647.0,3,,3635647.0,46913598153947.5,random2,200,200,880121610
142,,"0    1173713
1    1170727
2    1215839
3    1180370
4    1171652
dtype: float64",fixed 288x288 (84353895).bmp,blur,,,asm2,1182460.2,3,,1182460.2,362377975.6999512,fixed,288,288,84353895
143,,"0    4246
1    4634
2    4524
3    4445
4    5125
dtype: float64",fixed 12x12 (1681692777).bmp,blur,,,asm2,4594.8,3,,4594.8,107940.69999999925,fixed,12,12,1681692777
144,,"0    588144
1    569322
2    573089
3    571917
4    573950
dtype: float64",random2 200x200 (663282821).bmp,blur,,,asm2,575284.4,3,,575284.4,54714828.29998779,random2,200,200,663282821
